DESTINO,ORIGEN,CANTIDAD,FOBDOL,FOBPES
USA,AXM,95,12,104644
PAN,AXM,12,22,12125
DEU,BOG,480,3000,12111570
DEU,BOG,90,634,5
DEU,BOG,60,228,920479
DEU,BOG,270,940,5
DEU,BOG,1204,2,6902
DEU,BOG,64,296,1195008
DEU,BOG,32,9256,36845081
DEU,BOG,9,5175,20599967
DEU,BOG,9,3267,13004848
DEU,BOG,16,4560,18151855
DEU,BOG,1380,1093,5
DEU,BOG,28995,15999,1
DEU,BOG,50,4930,20294788
DEU,BOG,245,54726,225284504
DEU,BOG,20,6256,25753387
DEU,BOG,20,3604,14836190
DEU,BOG,20,4216,17355543
DEU,BOG,20,3332,13716477
DEU,BOG,20,3332,13716477
DEU,BOG,100,7780,32027070
DEU,BOG,1088,1,157774
DEU,BOG,1,2526,46
DEU,BOG,27,60,247062
DEU,BOG,9,20,82354
DEU,BOG,1300,200,811388
DEU,BOG,38160,6102,4
DEU,BOG,62,99871,9
DEU,BOG,5600,1008,4098316
DEU,BOG,12480,2246,4
DEU,BOG,13,1484,47
DEU,BOG,2560,460,8
DEU,BOG,50,18500,74688015
DEU,BOG,44787,13917,65
DEU,BOG,1800,297,1181121
DEU,BOG,10080,1808,7210407
DEU,BOG,16,5,50
DEU,BOG,37,5,104
DEU,BOG,20,50,198178
DEU,BOG,82,320,1268342
DEU,BOG,24,88,348794
DEU,BOG,119,5,583
DEU,BOG,1198,4,5380
DEU,BOG,13,70,277449
DEU,BOG,7,5,28
DEU,BOG,2,287,45
DEU,BOG,1,568,33
DEU,BOG,1,194,19
DEU,BOG,986,88154,93
DEU,BOG,9,325,55
DEU,BOG,1,41,2
DEU,BOG,2,6331,36
DEU,BOG,6,6873,84
DEU,BOG,1,372,12
DEU,BOG,5,8753,8
DEU,BOG,19660,6549,2
DEU,BOG,3,2238,31
DEU,BOG,2,746,98
DEU,BOG,4,450,1787798
DEU,BOG,1,1457,5997871
DEU,BOG,1,374,19
DEU,BOG,38,7456,53
DEU,BOG,1,50,200253
DEU,BOG,1,50,200253
DEU,BOG,21600,2942,9
DEU,BOG,58200,8775,65
DEU,BOG,560,4921,56
DEU,BOG,809,64,3487
DEU,BOG,3,10315,5
DEU,BOG,4,13933,56388383
DEU,BOG,5,18860,35
DEU,BOG,6000,1140,4648281
DEU,BOG,14400,2736,11155875
DEU,BOG,0,17,26
DEU,BOG,1,82,83
DEU,BOG,1,514,37
DEU,BOG,4,98,21
DEU,BOG,16,95,43
DEU,BOG,7,72,38
DEU,BOG,3,12,22
DEU,BOG,0,8,8
DEU,BOG,1,6,1
DEU,BOG,2,51,11
DEU,BOG,2,72,87
DEU,BOG,2,354,64
DEU,BOG,1,122,16
DEU,BOG,1,73,51
DEU,BOG,1,334,34
DEU,BOG,20,642,96
DEU,BOG,1,25,72
DEU,BOG,29,5556,15
DEU,BOG,0,14,2
DEU,BOG,2,9498,21
DEU,BOG,1,1823,61
DEU,BOG,5,14004,64
DEU,BOG,145,725,2941281
DEU,BOG,2,21967,8
DEU,BOG,101,6314,88
DEU,BOG,16,26254,8
DEU,BOG,24320,4716,8
DEU,BOG,3231,4972,5
DEU,BOG,58360,10576,8
DEU,BOG,1,5470,88
DEU,BOG,10530,1895,4
DEU,BOG,79320,14442,64
DEU,BOG,2050,369,1467453
DEU,BOG,11100,2780,6
DEU,BOG,2250,1202,4918980
DEU,BOG,1,924,12
DEU,BOG,510,770,1
DEU,BOG,978,12,5513
DEU,BOG,300,1918,3
DEU,BOG,3,28040,41
DEU,BOG,11,113981,51
DEU,BOG,1,44999,33
DEU,BOG,1,300,1213353
DEU,BOG,1056,6336,26068141
DEU,BOG,1836,9948,96
DEU,BOG,200,1200,4937148
DEU,BOG,1224,6357,26154541
DEU,BOG,12,47,1
DEU,BOG,2139,12960,52717346
DEU,BOG,597,1622,6579112
DEU,BOG,16172,96474,92
DEU,BOG,6400,832,3332209
DEU,BOG,9,47,85
DEU,BOG,48,291,2
DEU,BOG,12,5,39
DEU,BOG,280,2114,8378986
